seqnames	start	end	width	strand	len	wbps_gene_id	gene_name	chip_signal_mean	chip_signal_max	log_chip_signal_mean	log_chip_signal_max	IDR_mean	IDR_max	IDR_value	IDR_nlogq	IDR_logTEN_max	IDR_logTEN_mean	IDR_logTEN_value	baseMean	log2FoldChange	lfcSE	pvalue	padj	class
WBGene00007229	chrII	9295619	9296818	1200	-	1200	WBGene00007229	C01G6.9	5.404985	27.986813	6.7397363731966	6.77931493681345	NA	NA	NA	NA	NA	NA	NA	188.128273296867	0.816786362495681	0.510238455245777	0.0655635392280602	0.139309203598654	classD
WBGene00003003	chrX	11464560	11465759	1200	+	1200	WBGene00003003	lin-14	30.785336	73.104675	7.04714653688569	7.27577128339284	NA	NA	NA	NA	NA	NA	NA	2257.86132170279	0.816419445996372	0.530318991850836	0.0729818148840101	0.151253731734465	classD
WBGene00021678	chrI	63867	65066	1200	-	1200	WBGene00021678	Y48G1C.5	-5.769475	9.258254	6.58040575823196	6.50962688794906	NA	NA	NA	NA	NA	NA	NA	6.1814947111401	0.815897465035792	1.12064572975383	0.151282868542914	0.262195120933172	classD
WBGene00006578	chrI	10537889	10539088	1200	-	1200	WBGene00006578	tli-1	17.45137	27.353289	6.89382460488089	6.77097013787881	NA	NA	NA	NA	NA	NA	NA	1661.71221710021	0.814077126831736	0.280304170961749	0.00250759373596409	0.0103371045685581	classC
WBGene00021088	chrIV	3294135	3295334	1200	+	1200	WBGene00021088	W08E12.7	96.30536	192.647125	7.62769509253276	8.10068607363985	167.595933	192.647125	174.72293613902	3.57760667736254	2.28476253213463	2.22426347552881	2.24234991920608	3763.90955635089	0.813950941951755	0.26843856976213	0.00163634826128193	0.00723193663740056	classA
WBGene00014003	chrIV	10914688	10915887	1200	+	1200	WBGene00014003	ZK593.3	-9.069192	3.110007	6.52978263028795	6.40883748006491	NA	NA	NA	NA	NA	NA	NA	28.1905265064309	0.812216586352318	0.789232748887451	0.15132930660762	0.26223296584007	classD
WBGene00012456	chrV	18719788	18720987	1200	-	1200	WBGene00012456	Y17D7C.2	114.276958	190.901947	7.75317459445168	8.09148477827845	174.160106	190.901947	136.665105052906	3.57760667736254	2.2808103577653	2.2409486803601	2.13565763953095	127.481702605923	0.808981665606751	0.523312706079519	0.0739221904763091	0.152589964639268	classB
WBGene00021312	chrIII	5371077	5372276	1200	-	1200	WBGene00021312	szy-2	-6.778051	21.698097	6.5651201638339	6.69426020205438	NA	NA	NA	NA	NA	NA	NA	1588.18946065672	0.808857347107959	0.28541486342073	0.00309683692060435	0.0123008018146484	classC
WBGene00000899	chrX	825276	826475	1200	-	1200	WBGene00000899	daf-3	55.500178	104.470566	7.29431670333474	7.54170034499499	93.367915	104.470566	76.366633320493	2.66156029879075	2.01899394763	1.97019766067999	1.88290364483121	3934.19145416307	0.80882076287625	0.27219906401841	0.00205436872701174	0.008753940519576	classA
WBGene00022456	chrI	5130520	5131719	1200	+	1200	WBGene00022456	pfkb-1.1	66.301812	168.154907	7.39032848236072	7.96585525197104	148.369386	168.154907	159.194648529178	3.57760667736254	2.22570954516792	2.17134429944135	2.20192846444869	3784.8222925484	0.808002705548599	0.291754728890292	0.00378845456404196	0.01456423908646	classA
WBGene00019778	chrIV	3526354	3527553	1200	+	1200	WBGene00019778	M57.2	19.355899	32.623966	6.91674696917336	6.83896886797891	NA	NA	NA	NA	NA	NA	NA	2202.80432982399	0.807877756940848	0.279288526577452	0.00257992545211753	0.0105598200788467	classC
WBGene00008022	chrX	10453260	10454459	1200	+	1200	WBGene00008022	lgc-41	-12.446085	-5.58566	6.47606817842756	6.25307653722778	NA	NA	NA	NA	NA	NA	NA	14.1317065798154	0.807011422115587	0.825170257472289	0.156185962938255	0.268415971004201	classD
WBGene00017220	chrII	5425534	5426733	1200	-	1200	WBGene00017220	F07F6.8	98.664215	173.089844	7.64480050687401	7.99405488124808	155.894453	173.089844	155.885675547451	3.57760667736254	2.23827158651113	2.19283066249898	2.19280620937411	3880.38979658804	0.807003263909427	0.30176159293958	0.00491957056740171	0.0181855365829282	classA
WBGene00011164	chrII	9461782	9462981	1200	-	1200	WBGene00011164	chil-21	-8.665959	4.658908	6.53606501074366	6.43490004580272	NA	NA	NA	NA	NA	NA	NA	3.95325616261416	0.805465616459173	1.42802264317696	0.0577898028146368	0.126859450744968	classD
WBGene00010339	chrX	15848885	15850084	1200	+	1200	WBGene00010339	acl-1	47.458707	84.633911	7.21844645973976	7.37930299836708	NA	NA	NA	NA	NA	NA	NA	564.747070261218	0.802220704366084	0.396507405060295	0.0279932594526498	0.0731591993210224	classD
WBGene00001824	chrX	5821142	5822341	1200	+	1200	WBGene00001824	hbl-1	17.439761	51.141323	6.89368375951628	7.05526848576591	NA	NA	NA	NA	NA	NA	NA	38221.8491003564	0.801658994587337	0.49566500147074	0.0662385132514946	0.140332922760295	classD
WBGene00016029	chrIII	688169	689368	1200	+	1200	WBGene00016029	elf-1	0.694844	6.668301	6.67470896062772	6.46802431100783	NA	NA	NA	NA	NA	NA	NA	526.907935968786	0.800697803636185	0.317507045542632	0.00780621163005614	0.0265173250626812	classC
WBGene00022350	chrIII	1483308	1484507	1200	-	1200	WBGene00022350	Y82E9BR.18	9.175706	15.930947	6.78976111966696	6.61159051801207	NA	NA	NA	NA	NA	NA	NA	1543.18405422886	0.799971065023997	0.436432615506968	0.0421028841480124	0.0999820916719152	classD
WBGene00007226	chrII	9272843	9274042	1200	-	1200	WBGene00007226	C01G6.4	59.146137	179.98494	7.32744373614267	8.03255454063687	179.409227	193.499405	85.5459473496219	2.92685670894972	2.2866796339254	2.25384477500761	1.93219944011457	1953.95459933886	0.799932843262732	0.284537926780206	0.00340918040707215	0.0133175989851251	classA
WBGene00019966	chrV	3800279	3801478	1200	-	1200	WBGene00019966	srt-30	-31.224702	-11.613109	6.13426275759282	6.13430888725311	NA	NA	NA	NA	NA	NA	NA	12.9416645346668	0.799830711286402	1.29661860867383	0.109614133926439	0.205719225225641	classD
WBGene00001405	chrI	9712520	9713719	1200	-	1200	WBGene00001405	fce-1	-3.440898	14.348808	6.61509019437997	6.58805795123637	NA	NA	NA	NA	NA	NA	NA	3573.63138127646	0.798819075908324	0.258105197632518	0.00139119251509998	0.00630763985001643	classC
WBGene00020323	chrX	4884951	4886150	1200	+	1200	WBGene00020323	arrd-23	91.177303	178.81926	7.58979375001194	8.02611755517569	154.230898	178.81926	179.24798889519	3.57760667736254	2.25241429332595	2.1881713872472	2.2534542917227	40.3572590179018	0.798438788252384	0.599454556538425	0.106937390028641	0.202126815844826	classB
WBGene00016203	chrIII	7924722	7925921	1200	-	1200	WBGene00016203	tag-250	23.584769	47.087414	6.96637863336579	7.01060983997271	NA	NA	NA	NA	NA	NA	NA	1778.12981278245	0.798363534416051	0.282584130444471	0.00320200634913601	0.0126491235623005	classC
WBGene00016611	chrIV	6572139	6573338	1200	-	1200	WBGene00016611	bicd-1	12.705954	23.714848	6.83507381571775	6.72208670702434	NA	NA	NA	NA	NA	NA	NA	6414.7326912597	0.798077897943464	0.339483131499707	0.013500792099016	0.0411115029958106	classC
WBGene00012386	chrI	13626026	13627225	1200	-	1200	WBGene00012386	agef-1	33.641475	73.365631	7.07797156609804	7.27819873739031	NA	NA	NA	NA	NA	NA	NA	4781.15492184095	0.797956605009664	0.312832395762308	0.00726181661120226	0.0250630425852756	classC
WBGene00021120	chrIV	1230889	1232088	1200	+	1200	WBGene00021120	W09G12.6	0.039363	10.698596	6.66542263263268	6.5322544089794	NA	NA	NA	NA	NA	NA	NA	8.38275247525577	0.797193079450552	1.15206141010155	0.148643464823106	0.258832823068218	classD
WBGene00001006	chrX	5478700	5479899	1200	+	1200	WBGene00001006	dlg-1	111.289604	167.195709	7.7330583272586	7.96030955833107	NA	NA	NA	NA	NA	NA	NA	48549.758020483	0.796614459588905	0.444259453878463	0.0470841833379645	0.108891542505699	classD
WBGene00020596	chrX	9347231	9348430	1200	-	1200	WBGene00020596	oga-1	19.688171	53.973106	6.92070905140653	7.08566362319416	NA	NA	NA	NA	NA	NA	NA	2144.30386324101	0.796343778073383	0.349307132533042	0.01521883723591	0.0450365530393995	classC
WBGene00021528	chrX	2956935	2958134	1200	+	1200	WBGene00021528	gbb-1	34.658776	75.749352	7.08879368623831	7.30018544972483	64.281425	75.749352	82.149983888915	2.95154566377089	1.87937892200566	1.8080854957014	1.91460748259815	680.909953358739	0.796298214044449	0.598386777860388	0.106754974130852	0.201996147270165	classB
WBGene00004748	chrV	20797218	20798417	1200	+	1200	WBGene00004748	sdf-9	1.298311	8.619446	6.68320586862471	6.49947658959775	NA	NA	NA	NA	NA	NA	NA	7.05600528028704	0.796219025608848	1.07423120925822	0.15569898821457	0.267860710011453	classD
WBGene00019326	chrIII	844841	846040	1200	+	1200	WBGene00019326	K02F3.2	108.843418	195.023407	7.71637471011095	8.11312119439774	169.316159	195.023407	152.51837008089	3.57760667736254	2.29008673916186	2.22869840778198	2.18332215544862	4031.44302541601	0.796161693434075	0.291233245732183	0.00427018786638195	0.0161254264172537	classA
WBGene00019531	chrIV	4161421	4162620	1200	+	1200	WBGene00019531	scrm-5	-22.20702	-2.570806	6.30851592920404	6.30900488274381	NA	NA	NA	NA	NA	NA	NA	29.812470426439	0.796032838523413	0.724312892955507	0.144431529858047	0.253207009888785	classD
WBGene00013886	chrV	14875272	14876471	1200	-	1200	WBGene00013886	ZC412.5	44.833438	105.632477	7.19278769482306	7.55066882388399	92.511969	105.632477	77.4814328358169	2.87551140948568	2.02379746377942	1.96619792446208	1.88919764337045	13.7313987380073	0.795629971215761	1.04550065939454	0.16303541928063	0.277271890554953	classB
WBGene00001577	chrIV	11744640	11745839	1200	+	1200	WBGene00001577	gem-4	57.297586	64.000214	7.31074295004702	7.18841679993779	NA	NA	NA	NA	NA	NA	NA	3271.29482930272	0.794946562950557	0.239806578855852	0.000679848853093421	0.00340628500053086	classC
WBGene00003970	chrX	11414688	11415887	1200	-	1200	WBGene00003970	pek-1	89.86347	154.927734	7.57992086006746	7.88743464252036	138.117252	154.927734	89.2755271692458	3.04399066587816	2.19012916885681	2.14024792898013	1.95073242336797	3714.20020889808	0.794895490542209	0.326832517003908	0.0101456398538614	0.0327458581691027	classA
WBGene00013029	chrIII	12373658	12374857	1200	-	1200	WBGene00013029	glrx-5	20.288467	27.500401	6.92783963819879	6.77291220923945	NA	NA	NA	NA	NA	NA	NA	466.154515809137	0.792786380327564	0.402848067251933	0.0315157568696216	0.0801061026086609	classD
WBGene00006815	chrV	6464065	6465264	1200	+	1200	WBGene00006815	unc-83	-7.761144	5.583813	6.55006327078848	6.45024136086596	NA	NA	NA	NA	NA	NA	NA	11009.6738561794	0.792694447315892	0.316870589499967	0.00870390194768568	0.0289992072026341	classC
WBGene00017511	chrV	1614627	1615826	1200	-	1200	WBGene00017511	srbc-41	-8.941678	0.57999	6.53177226096189	6.36522676669405	NA	NA	NA	NA	NA	NA	NA	4.85263957347631	0.791893129013193	1.16431342384607	0.146323128279783	0.255789215125322	classD
WBGene00044261	chrI	13531263	13532462	1200	-	1200	WBGene00044261	Y87G2A.20	1.661796	18.132401	6.68829974813358	6.64370891194776	NA	NA	NA	NA	NA	NA	NA	51.3321861190497	0.790557480123147	0.469482589865526	0.0585938996770356	0.128136999472113	classD
WBGene00004017	chrII	10136658	10137857	1200	+	1200	WBGene00004017	phg-1	-32.437187	-17.792709	6.10914219524788	6.00145733245283	NA	NA	NA	NA	NA	NA	NA	370.014193519452	0.789108790177575	0.529979432498243	0.0830090925437117	0.166476517500242	classD
WBGene00015484	chrIII	6419260	6420459	1200	-	1200	WBGene00015484	atgl-1	44.829984	68.830009	7.1927536338422	7.23541497819364	NA	NA	NA	NA	NA	NA	NA	4788.19382841018	0.788629585025853	0.213641317185382	0.00016389388693713	0.000968257439272551	classC
WBGene00001156	chrI	14369574	14370773	1200	-	1200	WBGene00001156	ech-7	-14.873063	1.007695	6.43618974594349	6.37269246603474	NA	NA	NA	NA	NA	NA	NA	45.6041066854979	0.787900819589631	0.646078264925708	0.125984800276207	0.228375851473017	classD
WBGene00013732	chrIII	12575202	12576401	1200	-	1200	WBGene00013732	aakg-1	30.868703	51.33419	7.04805567397369	7.05735908274385	NA	NA	NA	NA	NA	NA	NA	5080.86487288796	0.786187287991139	0.439209143139805	0.0477775853001173	0.110131573401869	classD
WBGene00000853	chrIII	10910460	10911659	1200	+	1200	WBGene00000853	cut-6	21.732593	35.570827	6.94485061167115	6.87563531949159	NA	NA	NA	NA	NA	NA	NA	308.993516593872	0.784579865875799	0.509545684433819	0.0744333996222685	0.15336176665776	classD
WBGene00015454	chrII	5083242	5084441	1200	-	1200	WBGene00015454	C04G6.4	27.863713	114.96888	7.01491818908703	7.62077898419132	101.69034	114.96888	106.819292841351	3.14291064040666	2.06058030058598	2.00727969939322	2.02864969855246	1186.60579513642	0.784327850410663	0.280101009132536	0.00357191498581687	0.0138528831459952	classA
WBGene00014008	chrIV	10904183	10905382	1200	-	1200	WBGene00014008	ZK596.3	-11.680795	5.56289	6.48841768738569	6.44989611035543	NA	NA	NA	NA	NA	NA	NA	88.1039267626061	0.784158651973741	0.513550738884094	0.0789329439192114	0.160417652267269	classD
WBGene00014216	chrX	13793426	13794625	1200	-	1200	WBGene00014216	ZK1086.2	-6.907879	-2.690863	6.56314072214379	6.30681867550068	NA	NA	NA	NA	NA	NA	NA	11.8935931515131	0.783110342036933	0.978477548790065	0.176089172020819	0.293991574737517	classD
WBGene00044480	chrIV	4532926	4534125	1200	-	1200	WBGene00044480	ZK185.4	-30.818491	-21.760431	6.14258185819558	5.90922010905427	NA	NA	NA	NA	NA	NA	NA	4.38344794604422	0.782800191611127	1.27203426833246	0.113549368323091	0.211064946009203	classD
WBGene00007348	chrX	14746303	14747502	1200	+	1200	WBGene00007348	C05G5.2	110.180097	249.088257	7.72551510430422	8.3704504889839	246.078166	249.088257	231.997282423284	3.57760667736254	2.39635325366933	2.39107308137293	2.36548289766898	1467.89570683816	0.782045889337888	0.336256523904435	0.0137065054614413	0.0415773891309478	classA
WBGene00021960	chrV	7062174	7063373	1200	+	1200	WBGene00021960	tmem-258	3.085342	9.167227	6.70807795352752	6.50818487605935	NA	NA	NA	NA	NA	NA	NA	2340.23189604871	0.780675938965974	0.331478119415876	0.0128268537021068	0.0395078373921362	classC
WBGene00006190	chrV	8069538	8070737	1200	-	1200	WBGene00006190	str-143	5.714101	11.050447	6.74390320424131	6.53772840696068	NA	NA	NA	NA	NA	NA	NA	4.14640304684569	0.780083093652848	1.28724714578163	0.108600353640521	0.204344525739176	classD
WBGene00015914	chrII	3234626	3235825	1200	-	1200	WBGene00015914	C17F4.8	2.999396	17.197351	6.70689151266574	6.63015413710083	NA	NA	NA	NA	NA	NA	NA	246.593695973338	0.779542428457927	0.467870961419321	0.0610380573256033	0.132163411360583	classD
WBGene00020651	chrIV	265448	266647	1200	+	1200	WBGene00020651	T21D12.12	-2.619747	12.38274	6.62712514444882	6.55826963949843	NA	NA	NA	NA	NA	NA	NA	53.3404237222715	0.779509868566739	0.558800922157326	0.0991305954905729	0.190771928959193	classD
WBGene00020373	chrIV	8221202	8222401	1200	+	1200	WBGene00020373	gpx-6	5.118761	13.124046	6.73586736198208	6.56957367817448	NA	NA	NA	NA	NA	NA	NA	94.9506002425671	0.779329802631523	0.542998000846297	0.0925752274112666	0.180943747926715	classD
WBGene00017210	chrII	2058871	2060070	1200	-	1200	WBGene00017210	F07E5.5	42.906443	70.777985	7.17365895948048	7.25394556128506	NA	NA	NA	NA	NA	NA	NA	7490.28347418222	0.778654712300128	0.353119732561392	0.0186553689087029	0.0529770065612727	classD
WBGene00008685	chrIV	12095779	12096978	1200	+	1200	WBGene00008685	mon-2	-15.301207	8.768972	6.42903895491526	6.50185888287254	NA	NA	NA	NA	NA	NA	NA	3115.00236246269	0.777559379750428	0.327655640441635	0.0122651732143099	0.0381190155958604	classC
WBGene00195081	chrX	3418985	3420184	1200	-	1200	WBGene00195081	C04F6.7	-30.72539	-4.377532	6.14448180522371	6.2757494233744	NA	NA	NA	NA	NA	NA	NA	7.65857923310503	0.77747470064161	1.2148788564139	0.133824794792027	0.238882373958028	classD
WBGene00016019	chrII	56670	57869	1200	+	1200	WBGene00016019	ascc-1	-10.117517	0.438754	6.51332052090237	6.3627529469238	NA	NA	NA	NA	NA	NA	NA	1239.31729294389	0.777020187625212	0.311070169052239	0.00859755838835963	0.028732750081664	classC
WBGene00016142	chrIII	4934578	4935777	1200	+	1200	WBGene00016142	mrps-18C	19.155146	39.592545	6.91434786379638	6.92421791949731	NA	NA	NA	NA	NA	NA	NA	3184.01945166766	0.776394071171613	0.238686126896997	0.000850181587601751	0.00413577918135435	classC
WBGene00001130	chrX	15567890	15569089	1200	+	1200	WBGene00001130	dyn-1	37.893425	64.074181	7.12267440624631	7.18914823094886	NA	NA	NA	NA	NA	NA	NA	6063.86577020031	0.776097211000947	0.375343929293581	0.0277217768473354	0.0726068013042406	classD
WBGene00018256	chrIV	683497	684696	1200	+	1200	WBGene00018256	cutl-28	6.735563	58.248672	6.75758736921664	7.13037557859676	NA	NA	NA	NA	NA	NA	NA	2451.61036223315	0.776073319560584	0.455573289227512	0.0577523944116302	0.126805716331548	classD
WBGene00000105	chrX	13948110	13949309	1200	+	1200	WBGene00000105	alg-1	18.059919	59.349098	6.9011885957039	7.14166257748449	NA	NA	NA	NA	NA	NA	NA	20118.5285704616	0.774910407161986	0.395818886036613	0.0344480291543194	0.0858203535923817	classD
WBGene00019365	chrX	1087949	1089148	1200	-	1200	WBGene00019365	rei-2	-1.074354	11.094353	6.6495060170097	6.53841002874161	NA	NA	NA	NA	NA	NA	NA	1982.46108992542	0.774827005959939	0.352859923647025	0.0195578717848436	0.0550449271327194	classD
WBGene00012647	chrIII	10628944	10630143	1200	-	1200	WBGene00012647	swt-4	4.345395	26.878223	6.72536125404451	6.76468073111548	NA	NA	NA	NA	NA	NA	NA	408.646971277199	0.773403281712931	0.472213683010576	0.0646194090838907	0.137870672225762	classD
WBGene00001698	chrV	5894321	5895520	1200	+	1200	WBGene00001698	grd-9	-28.303306	-12.891665	6.19305084648094	6.10780765656579	NA	NA	NA	NA	NA	NA	NA	4.12765256213821	0.772472588714841	1.39125971381093	0.0637554434176714	0.136621792548258	classD
WBGene00008216	chrI	12563356	12564555	1200	+	1200	WBGene00008216	mec-19	7.335628	18.154779	6.76556611933497	6.64403175507827	NA	NA	NA	NA	NA	NA	NA	10.3240455475032	0.772163290202353	1.03722478975962	0.175559810462951	0.293307506168682	classD
WBGene00013774	chrIV	16806253	16807452	1200	-	1200	WBGene00013774	clec-193	6.378548	21.28183	6.75281930634675	6.68844924393738	NA	NA	NA	NA	NA	NA	NA	14.6004029978521	0.771592864707717	0.812271607616311	0.173288330326588	0.290800591292411	classD
WBGene00020883	chrV	3277952	3279151	1200	-	1200	WBGene00020883	fbxa-64	11.64289	21.805256	6.82157792791466	6.69575232794064	NA	NA	NA	NA	NA	NA	NA	131.161191190809	0.771348310788317	0.459782802819697	0.0608291308942136	0.131907415517867	classD
WBGene00009077	chrIV	9154164	9155363	1200	-	1200	WBGene00009077	F23B2.10	-11.410913	8.101399	6.49274769058385	6.49119235101488	NA	NA	NA	NA	NA	NA	NA	17.8323770837252	0.77054624325501	0.796430455511876	0.168098926549996	0.283742886863306	classD
WBGene00008774	chrIV	11015754	11016953	1200	-	1200	WBGene00008774	F13H10.3	63.68319	124.397301	7.36763253043016	7.68828312876051	110.927442	124.397301	84.0211389436779	2.9390197764487	2.09481095773806	2.04503899822205	1.92438856429555	2218.28707438395	0.768994949264548	0.282992984401619	0.00472905386582317	0.017594017929487	classA
WBGene00013236	chrIII	11918520	11919719	1200	-	1200	WBGene00013236	Y56A3A.18	-2.119936	57.502571	6.63440162237239	7.12267232543709	NA	NA	NA	NA	NA	NA	NA	4218.45758729748	0.767358376251322	0.245651144419562	0.00133609181878668	0.00608610254353691	classC
WBGene00008965	chrII	14622058	14623257	1200	+	1200	WBGene00008965	mltn-10	3.848184	14.529591	6.71856605510504	6.59076640449339	NA	NA	NA	NA	NA	NA	NA	19.7793980749637	0.76725030174428	0.826095973341053	0.175401777574711	0.2931433593516	classD
WBGene00019652	chrV	6675799	6676998	1200	+	1200	WBGene00019652	cest-34	33.11129	62.516586	7.07229907607532	7.17366691374234	NA	NA	NA	NA	NA	NA	NA	152.780993229737	0.767162711845481	0.689633869902912	0.150211852046888	0.260938381547042	classD
WBGene00011056	chrII	13735320	13736519	1200	+	1200	WBGene00011056	R06B9.5	25.795432	46.940655	6.99165981667774	7.00896689621255	NA	NA	NA	NA	NA	NA	NA	774.213576888546	0.766610745188059	0.688440109455725	0.151561422525577	0.262388113521794	classD
WBGene00013677	chrI	14486568	14487767	1200	-	1200	WBGene00013677	yars-1	15.870311	23.568876	6.87451480390191	6.72009054962875	NA	NA	NA	NA	NA	NA	NA	4698.08627046469	0.766332606534481	0.312717262194773	0.0104196922953273	0.0334268637030666	classC
WBGene00007287	chrX	13676192	13677391	1200	+	1200	WBGene00007287	gck-4	-7.646105	5.619521	6.55183332949743	6.4508303879652	NA	NA	NA	NA	NA	NA	NA	8895.06718762745	0.766258789399991	0.370444123968295	0.0262463214600541	0.0696139755398919	classD
WBGene00007480	chrII	14733325	14734524	1200	-	1200	WBGene00007480	glna-1	20.573767	51.614719	6.93121624464569	7.06039450121351	NA	NA	NA	NA	NA	NA	NA	23.5606446270968	0.766001487987754	0.634542988964121	0.13507860429394	0.240682389591328	classD
WBGene00012105	chrI	12489604	12490803	1200	+	1200	WBGene00012105	T27F6.6	54.516996	107.656662	7.28525178231701	7.56616102203229	97.482384	107.656662	90.4168485501295	3.03542973818458	2.03204090996365	1.9889261416184	1.95624936576905	1608.38818428599	0.765650728484415	0.226802627170779	0.000526441331649853	0.00272156570347396	classA
WBGene00008769	chrI	7306117	7307316	1200	+	1200	WBGene00008769	mrpl-13	-10.706398	-2.343662	6.50399010843039	6.31313207541241	NA	NA	NA	NA	NA	NA	NA	1217.96391011503	0.765368056706564	0.345003262661337	0.0182564988361408	0.0520469430482654	classD
WBGene00219411	chrX	3762348	3763547	1200	-	1200	WBGene00219411	T14G12.11	-14.18169	-4.455426	6.44766263506824	6.27429828735227	NA	NA	NA	NA	NA	NA	NA	3.29317501354659	0.764426950535895	1.27856444193944	0.108712044141218	0.204516082454227	classD
WBGene00007777	chrIV	12716831	12718030	1200	+	1200	WBGene00007777	C27D8.1	-7.193806	4.680612	6.55877169319975	6.43526192358293	NA	NA	NA	NA	NA	NA	NA	65.3558777032929	0.763127172142558	0.747836124453934	0.16786471979642	0.283426306005426	classD
WBGene00012992	chrII	13337281	13338480	1200	+	1200	WBGene00012992	mrpl-20	23.459305	31.462528	6.96493045287271	6.82425766537905	NA	NA	NA	NA	NA	NA	NA	1034.79481426592	0.762505587592208	0.293560281328226	0.00655242250109405	0.0230725939471533	classC
WBGene00009711	chrII	8993636	8994835	1200	+	1200	WBGene00009711	F44G4.1	-7.481142	14.050487	6.5543677647449	6.58357741987768	NA	NA	NA	NA	NA	NA	NA	6006.95880728416	0.762413043289633	0.298795971281025	0.0073694447083825	0.0253497524570702	classC
WBGene00271567	chrI	7488894	7490093	1200	+	1200	WBGene00271567	T28F4.8	-15.279078	58.461224	6.4294094197561	7.13256260277197	NA	NA	NA	NA	NA	NA	NA	5.92242931517679	0.762130821449196	1.08152712942138	0.170531500836026	0.287012462311505	classD
WBGene00005634	chrV	2857743	2858942	1200	-	1200	WBGene00005634	srj-55	-18.787687	-10.944908	6.36944992432016	6.14796770792325	NA	NA	NA	NA	NA	NA	NA	3.8947648120533	0.761796714478918	1.43696350918731	0.0376258948414765	0.0918588874061139	classD
WBGene00020633	chrX	16868832	16870031	1200	-	1200	WBGene00020633	aakg-2	25.10699	54.19556	6.98383417576203	7.08802443887899	NA	NA	NA	NA	NA	NA	NA	1828.0925981706	0.759492421109639	0.260272545595175	0.0025857171572767	0.0105753711033066	classC
WBGene00010993	chrX	14164307	14165506	1200	-	1200	WBGene00010993	vha-20	-9.289451	2.295492	6.52633940119021	6.39494079268805	NA	NA	NA	NA	NA	NA	NA	6444.14592023763	0.758599592491493	0.252417115274408	0.00187715791657552	0.00811875973003579	classC
WBGene00022567	chrII	3213198	3214397	1200	+	1200	WBGene00022567	ZC239.4	-14.717185	7.685945	6.43878441872991	6.48451416274913	NA	NA	NA	NA	NA	NA	NA	17.241195891572	0.758468474258464	0.99366556318477	0.185214117257383	0.304024579118447	classD
WBGene00006448	chrIII	4152599	4153798	1200	+	1200	WBGene00006448	glod-4	1.875205	15.322827	6.69128210396572	6.60259076367891	NA	NA	NA	NA	NA	NA	NA	777.274561671809	0.755673951925706	0.333133445662667	0.016452205289172	0.0478773819794985	classC
WBGene00003518	chrIII	9043101	9044300	1200	-	1200	WBGene00003518	nac-2	31.270785	44.134548	7.05243244739926	6.97718762241461	NA	NA	NA	NA	NA	NA	NA	2847.00817992645	0.754859191935983	0.558922972323542	0.109702136750569	0.205861832735734	classD
WBGene00007587	chrV	12596097	12597296	1200	-	1200	WBGene00007587	mma-1	93.653184	223.29361	7.60821727629823	8.25337951272861	155.669538	223.29361	99.7669869322077	2.97006779654917	2.34887629503092	2.19220363650633	1.99898685626688	4465.90861290037	0.753572555061637	0.261304358622094	0.00279895411702954	0.011312319400663	classA
WBGene00021562	chrV	2697972	2699171	1200	+	1200	WBGene00021562	nuo-5	23.713297	87.714455	6.96786067454285	7.40575284901625	83.509021	95.38134	72.3258266477079	2.26279824760819	1.97946341948722	1.92173339235673	1.8592934061152	8470.70558443699	0.753495958564981	0.349909605360926	0.022130298636488	0.0607461905846862	classB
WBGene00006472	chrX	8421856	8423055	1200	-	1200	WBGene00006472	tag-123	29.810104	65.930801	7.03646862863738	7.20738719522922	NA	NA	NA	NA	NA	NA	NA	6478.04778626225	0.753480037100767	0.33078444073653	0.0161061959440665	0.0470730036130115	classC
WBGene00010779	chrIII	9845393	9846592	1200	+	1200	WBGene00010779	K11H3.2	5.662838	20.778856	6.74321301961083	6.68139651265051	NA	NA	NA	NA	NA	NA	NA	9.35862164474434	0.753438924561394	1.03483128445993	0.182184116356692	0.30079687153568	classD
WBGene00022336	chrIII	1418196	1419395	1200	+	1200	WBGene00022336	Y82E9BR.3	67.173927	125.740082	7.39780865084678	7.6976450722347	111.349309	125.740082	86.3202122636108	2.92064500140682	2.09947373923459	2.04668752627874	1.93611249961741	32368.9842766943	0.753199669634782	0.259330591965701	0.00263833773911387	0.0107652083243144	classA
WBGene00009904	chrII	8380497	8381696	1200	+	1200	WBGene00009904	F49E12.12	2.523665	9.06389	6.70030658176444	6.50654610547656	NA	NA	NA	NA	NA	NA	NA	71.7902892983477	0.752445602693066	0.75195386388898	0.167870805537115	0.283426306005426	classD
WBGene00018018	chrII	5048915	5050114	1200	+	1200	WBGene00018018	F33G12.6	-5.516936	45.55101	6.58420792419585	6.9933165983065	NA	NA	NA	NA	NA	NA	NA	2738.58219887097	0.751581752327833	0.297852816117243	0.00816164529051392	0.0274894369919389	classC
WBGene00044025	chrIV	11361310	11362509	1200	-	1200	WBGene00044025	T01G1.4	4.388793	15.729443	6.72595284256661	6.60861461353433	NA	NA	NA	NA	NA	NA	NA	2001.46922306778	0.751500368370358	0.397333557511776	0.039980936373963	0.0961483675869188	classD
WBGene00012244	chrV	12494423	12495622	1200	-	1200	WBGene00012244	mrps-11	-3.656864	23.631895	6.61190820885605	6.72095266909025	NA	NA	NA	NA	NA	NA	NA	3689.64550995825	0.750967130124548	0.281719246380486	0.00562681108523943	0.020347395395628	classC
