Geneid	Chr	Start	End	Strand	Length	elt2D_sorted_1	elt2D_sorted_2	elt2D_sorted_3	elt2D_sorted_4	elt2Delt7D_sorted_1	elt2Delt7D_sorted_2	elt2Delt7D_sorted_3	wt_sorted_1	wt_sorted_2	wt_sorted_3	wt_sorted_4	elt7D_sorted_1	elt7D_sorted_2	elt7D_sorted_3
WBGene00002046	IV;IV	9095646;9095646	9095653;9095653	-;-	8	24	35	24	15	19	23	30	20	18	27	24	11	13	9
WBGene00007223	IV	9096230	9096231	-	2	15	12	16	13	7	11	12	7	10	11	14	5	13	11
WBGene00007221	IV	9096842	9096905	+	64	5	13	5	8	10	9	5	4	3	1	11	2	4	4
WBGene00007222	IV	9099242	9099370	+	129	12	29	17	12	43	44	22	16	12	15	22	11	12	13
WBGene00219207	IV	9104122	9104191	-	70	5	9	3	10	7	9	6	8	14	8	9	17	6	4
WBGene00001413	IV	9104966	9105201	+	236	9	15	6	12	15	14	5	1	4	0	1	0	0	1
WBGene00000120	IV	9108931	9108945	+	15	13	10	9	9	16	10	3	8	5	10	3	5	3	7
WBGene00006438	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9119098;9119098;9119098;9119098;9119098;9119098;9119098;9119101;9119101;9119427;9119427;9119427;9119427;9119754;9119754;9119754;9119754;9119888;9119888;9121385;9127076;9127105;9127195;9127195;9127195;9127195;9127195	9119099;9119099;9119167;9119099;9119099;9119167;9119099;9119168;9119168;9119506;9119506;9119506;9119506;9119826;9119961;9119826;9119961;9119961;9119961;9121480;9127245;9127245;9127245;9127245;9127245;9127245;9127245	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	625	569	925	585	549	471	568	536	348	305	405	370	328	280	310
WBGene00000906	IV	9146197	9146210	-	14	0	0	1	0	0	0	0	0	1	0	0	0	0	0
WBGene00001444	IV;IV	9144692;9144705	9144712;9144712	+;+	21	8	13	10	11	30	6	6	4	14	10	8	6	13	13
WBGene00009078	IV;IV;IV	9146624;9146801;9146869	9146640;9146839;9146869	-;-;-	57	71	121	64	68	84	85	70	67	39	73	78	66	35	42
WBGene00000121	IV	9147468	9147474	+	7	0	1	2	1	2	2	3	0	2	0	0	0	2	1
WBGene00009075	IV;IV	9150491;9150761	9150495;9150777	+;+	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003958	IV;IV	9159016;9159016	9159019;9159019	-;-	4	1	2	6	3	0	0	0	2	7	11	3	0	2	2
WBGene00003957	IV	9165123	9165127	-	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0
WBGene00045078	IV;IV	9194824;9195594	9194890;9195630	+;+	104	5	3	5	3	5	4	0	1	3	1	5	5	5	1
WBGene00006941	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9200102;9200102;9200102;9200102;9200102;9200102;9200102;9200102;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9200116;9209093;9209093;9210364;9210364	9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9200430;9209576;9209576;9210369;9210369	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	819	264	357	254	334	313	291	212	202	176	166	223	165	122	136
WBGene00008114	IV;IV	9212375;9213187	9212420;9213296	+;+	156	0	1	0	0	1	1	0	2	3	0	1	4	0	0
WBGene00008110	IV;IV;IV	9216952;9217726;9217726	9217042;9217753;9217753	+;+;+	119	23	24	23	26	17	16	21	7	28	24	3	5	11	9
WBGene00008111	IV;IV	9225125;9225635	9225282;9225714	+;+	238	1	1	0	0	1	0	0	0	1	0	0	0	1	0
WBGene00012428	IV;IV;IV;IV	9233028;9236939;9236951;9237238	9233100;9237000;9237053;9237246	+;+;+;+	197	0	0	0	2	1	1	4	0	1	1	3	4	1	2
WBGene00012429	IV	9245465	9245523	-	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00012431	IV	9249523	9249528	+	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00012432	IV	9251379	9251456	+	78	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00012433	IV	9256100	9256117	-	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00012434	IV;IV	9259761;9259761	9259764;9259764	-;-	4	3	13	4	1	12	14	6	14	8	5	4	5	6	1
WBGene00000694	IV	9261754	9261787	-	34	0	2	1	0	1	2	0	2	3	4	2	2	1	4
WBGene00012435	IV;IV;IV;IV	9263702;9264219;9264232;9264232	9263702;9264265;9264263;9264263	-;-;-;-	48	1	4	6	0	8	2	7	0	2	4	2	1	1	2
WBGene00077756	IV	9266348	9266561	-	214	1	3	1	1	0	5	5	8	2	9	9	5	3	7
WBGene00012436	IV	9270096	9270096	+	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
WBGene00012437	IV	9274416	9274546	+	131	3	2	4	4	6	6	1	4	3	4	1	1	0	1
WBGene00010410	IV	9286406	9286446	-	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009871	IV	9296355	9296406	-	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009875	IV	9304917	9304942	+	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009876	IV	9309066	9309109	-	44	17	11	7	10	12	11	9	11	22	18	11	6	8	14
WBGene00009877	IV;IV	9311139;9311139	9311191;9311157	-;-	53	0	0	1	2	0	0	0	6	5	6	6	2	1	2
WBGene00009878	IV	9316108	9316215	-	108	14	21	17	17	19	18	8	17	13	20	17	4	7	9
WBGene00004463	IV	9316639	9316642	+	4	6	9	6	9	12	10	13	5	4	2	2	4	3	8
WBGene00009880	IV	9319380	9319391	+	12	33	43	36	31	43	65	48	22	23	34	19	34	42	40
WBGene00009881	IV;IV	9321085;9321085	9321089;9321089	-;-	5	22	16	14	19	16	19	15	17	20	20	16	33	32	30
WBGene00009882	IV	9321801	9321806	+	6	65	75	88	56	58	58	22	53	31	25	39	44	59	61
WBGene00009883	IV	9324076	9324145	-	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009884	IV	9324435	9324470	+	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00011856	IV	9330853	9330855	-	3	9	17	10	8	3	3	0	2	9	4	5	3	7	6
WBGene00011857	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9335526;9335526;9335526;9335651;9335651;9335651;9335787;9335787;9335787;9335888;9335888	9335601;9335601;9335601;9335732;9335732;9335732;9335916;9335891;9335916;9335909;9335891	-;-;-;-;-;-;-;-;-;-;-	288	132	183	103	110	164	169	140	144	84	113	139	101	100	97
WBGene00011858	IV	9337044	9337310	+	267	47	68	47	39	52	65	44	54	52	57	48	39	52	32
WBGene00011859	IV;IV	9339138;9339299	9339185;9339305	-;-	55	69	130	65	65	50	92	67	77	75	59	81	62	67	53
WBGene00006931	IV;IV	9341635;9341635	9341649;9341734	-;-	100	5	6	1	2	0	1	1	1	2	3	4	1	0	0
WBGene00011860	IV	9343135	9343152	-	18	0	0	0	1	0	0	0	0	0	0	0	1	0	0
WBGene00007505	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9355569;9355569;9355569;9355569;9355688;9355688;9355726;9355726;9366455;9366455;9366455;9366455;9366455;9366455;9366455;9366455	9355668;9355838;9355668;9355838;9355696;9355696;9355764;9355764;9366506;9366506;9366506;9366506;9366506;9366506;9366506;9366506	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	322	27	23	25	25	28	47	26	10	8	22	12	19	19	19
WBGene00007506	IV	9371508	9371508	+	1	5	2	1	1	0	0	1	0	0	0	0	0	0	0
WBGene00007507	IV	9374733	9374854	+	122	2	2	0	0	4	1	0	1	1	3	3	2	0	0
WBGene00007508	IV	9378552	9378661	+	110	0	1	3	1	2	4	1	0	2	0	2	0	0	4
WBGene00000911	IV;IV;IV;IV	9386457;9386457;9386457;9386457	9386463;9386463;9386463;9386463	+;+;+;+	7	0	2	5	6	1	1	1	1	3	8	1	3	2	1
WBGene00000695	IV	9396211	9396218	-	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010147	IV	9398588	9398603	-	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010148	IV	9399653	9399697	+	45	0	1	1	1	0	4	0	0	2	4	3	1	0	0
WBGene00010150	IV;IV	9401922;9402014	9402062;9402062	+;+	141	17	20	10	14	6	11	5	8	14	15	12	2	9	6
WBGene00010149	IV	9408105	9408121	-	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010316	IV;IV;IV;IV	9428259;9436708;9436710;9436884	9428364;9436715;9436715;9436914	+;+;+;+	145	4	10	6	6	3	5	3	5	8	10	11	6	6	5
WBGene00010317	IV;IV;IV;IV	9439407;9439674;9440766;9440766	9439512;9439969;9440787;9440807	-;-;-;-	444	930	1473	1167	915	1083	1252	1266	1097	721	981	1149	1255	941	882
WBGene00009544	IV;IV;IV	9444033;9444033;9444421	9444046;9444040;9444516	-;-;-	110	1	0	2	1	2	1	0	1	1	1	1	3	0	0
WBGene00002012	IV	9445280	9445507	-	228	2	6	3	0	2	2	2	4	6	1	9	9	4	6
WBGene00009541	IV;IV	9457339;9457457	9457426;9457501	-;-	133	2	1	0	0	0	0	0	0	0	1	0	0	0	0
WBGene00000775	IV	9451338	9451339	+	2	0	0	0	0	0	1	0	1	0	1	4	0	1	2
WBGene00009542	IV	9459731	9459736	+	6	4	9	10	7	10	9	4	5	0	3	5	2	4	2
WBGene00009543	IV;IV	9467484;9467484	9467518;9467518	-;-	35	0	0	1	0	0	1	2	0	0	0	0	0	0	0
WBGene00006949	IV;IV	9477196;9477286	9477446;9477446	-;-	251	8	16	12	14	12	15	9	15	16	21	20	11	20	16
WBGene00000563	IV	9480960	9481037	-	78	0	0	0	0	0	0	0	0	0	0	0	1	1	2
WBGene00007887	IV	9485084	9485140	-	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007885	IV;IV	9500311;9500311	9500325;9500325	+;+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007886	IV	9508699	9508779	-	81	17	7	11	9	7	11	4	7	6	5	11	6	2	1
WBGene00007883	IV;IV	9510548;9510548	9510594;9510594	-;-	47	139	164	112	123	89	115	67	104	80	69	132	71	82	80
WBGene00007882	IV;IV	9511211;9512994	9511456;9513002	-;-	255	92	144	85	87	90	82	60	55	56	58	68	54	53	49
WBGene00007890	IV	9516992	9517191	+	200	28	24	12	15	25	16	10	12	18	17	17	9	2	6
WBGene00007881	IV	9518901	9518927	-	27	23	52	22	19	41	29	15	43	37	20	25	21	21	20
WBGene00007880	IV	9524891	9524895	-	5	1	1	0	1	0	1	1	0	2	1	1	0	0	3
WBGene00001239	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9526359;9526366;9526416;9526458;9526466;9526516;9526562;9526990;9526993;9526993;9526998	9526442;9526386;9526524;9526533;9526532;9526534;9526567;9527007;9527007;9527007;9527007	+;+;+;+;+;+;+;+;+;+;+	200	894	1239	1001	905	656	659	358	1287	933	1281	1074	705	641	479
WBGene00001245	IV	9529947	9529986	+	40	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00010175	IV;IV;IV;IV	9531978;9532831;9533119;9533142	9532258;9532957;9533171;9533171	-;-;-;-	461	53	66	50	42	51	61	28	60	61	71	108	46	34	35
WBGene00001403	IV;IV;IV;IV;IV;IV;IV;IV	9540808;9540808;9540808;9540808;9540808;9540808;9540808;9540808	9540851;9540851;9540851;9540851;9540851;9540851;9540851;9540851	+;+;+;+;+;+;+;+	44	6	4	7	6	13	10	9	14	13	23	17	7	5	11
WBGene00011456	IV	9546286	9546358	+	73	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00011454	IV;IV;IV;IV;IV;IV	9563064;9563064;9564560;9564935;9565114;9565324	9563113;9563080;9564644;9565051;9565235;9565370	-;-;-;-;-;-	421	20	35	26	34	37	29	21	44	27	31	36	26	24	28
WBGene00000696	IV	9563360	9563387	+	28	0	0	0	0	1	0	0	0	1	0	0	0	0	0
WBGene00003808	IV;IV	9576472;9580053	9576483;9580071	-;-	31	6	5	3	3	0	3	2	6	6	0	4	12	2	3
WBGene00009186	IV;IV	9588775;9588775	9588834;9588834	-;-	60	0	0	1	1	0	1	0	0	0	2	0	0	0	0
WBGene00009185	IV	9592467	9592529	-	63	0	0	0	0	0	0	0	0	2	0	0	0	0	0
WBGene00005003	IV;IV;IV	9593667;9593667;9593815	9593726;9593726;9593894	+;+;+	140	73	98	83	66	8	4	2	47	93	28	74	52	38	49
WBGene00009184	IV	9595854	9595933	-	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009183	IV;IV	9596497;9596924	9596502;9597147	+;+	230	4	3	1	4	3	1	1	8	4	1	2	0	2	2
WBGene00000002	IV;IV	9601695;9601695	9601695;9601695	-;-	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
WBGene00001249	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9614970;9614970;9614970;9615151;9615151;9615151;9615997;9615997;9618575;9619322	9615100;9615100;9615100;9615160;9615160;9615160;9616005;9616005;9618634;9619337	+;+;+;+;+;+;+;+;+;+	226	18	36	18	25	24	32	41	31	38	41	35	42	44	37
WBGene00185095	IV	9622367	9622372	-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00185116	IV	9624368	9624392	-	25	0	0	0	0	0	0	0	0	1	0	3	0	0	0
WBGene00003151	IV;IV;IV;IV;IV;IV;IV	9630378;9630615;9631241;9631648;9632051;9634765;9634870	9630518;9630790;9631318;9631707;9632111;9634948;9634948	-;-;-;-;-;-;-	700	427	642	464	425	506	576	485	310	373	255	305	413	317	406
WBGene00000953	IV;IV;IV;IV	9639155;9640104;9640414;9640561	9639187;9640218;9640513;9640626	-;-;-;-	314	5	9	6	3	6	7	9	3	7	8	6	6	6	5
WBGene00010272	IV;IV;IV	9647692;9647692;9647747	9647697;9647697;9647934	-;-;-	194	5	5	8	5	5	8	8	3	8	9	6	5	5	2
WBGene00010273	IV;IV;IV	9648982;9649594;9649959	9649053;9649777;9650082	+;+;+	380	1	1	1	3	0	2	1	5	0	2	2	0	1	1
WBGene00044107	IV;IV;IV;IV;IV	9651394;9651394;9651579;9651677;9651677	9651604;9651604;9651683;9651683;9651683	+;+;+;+;+	290	2	3	1	2	1	0	2	5	3	3	6	0	2	1
WBGene00010274	IV	9653535	9653545	+	11	0	0	0	0	0	0	0	0	4	0	6	0	0	0
WBGene00010277	IV	9654317	9654350	+	34	0	1	0	0	0	0	0	0	1	1	2	1	1	0
WBGene00010275	IV	9658053	9658167	+	115	0	1	2	2	4	5	0	2	6	3	2	0	2	1
WBGene00003627	IV;IV;IV;IV	9667038;9669196;9672662;9675657	9667066;9669304;9672670;9675672	-;-;-;-	163	76	125	75	71	63	64	117	48	71	71	53	39	61	45
WBGene00014240	IV	9683522	9683533	-	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00014241	IV	9683617	9683663	+	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003463	IV	9688982	9689014	+	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00014242	IV	9690932	9690943	+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00014243	IV;IV	9698035;9706719	9698256;9706723	-;-	227	27	47	22	36	18	39	43	27	27	18	23	17	34	22
WBGene00010484	IV	9707148	9707158	+	11	3	3	5	8	9	5	4	8	27	6	5	3	23	8
WBGene00010485	IV	9709259	9709305	-	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003629	IV	9710202	9710229	+	28	1	0	0	0	2	0	0	0	0	1	4	0	0	0
WBGene00010486	IV;IV	9713082;9713216	9713173;9713219	+;+	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003728	IV;IV	9725251;9725385	9725323;9725448	+;+	137	78	114	81	61	98	88	63	89	66	92	116	69	79	63
WBGene00003690	IV;IV	9728676;9728681	9728684;9728684	+;+	9	8	12	6	6	16	1	6	15	6	9	8	6	4	6
WBGene00001607	IV;IV	9740855;9740855	9740908;9740895	-;-	54	21	40	17	16	8	8	11	0	0	0	0	0	1	0
WBGene00007794	IV	9743113	9743147	-	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007792	IV	9744984	9745003	-	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007793	IV	9746808	9746862	-	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007795	IV	9748423	9748442	-	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003687	IV;IV;IV;IV;IV;IV;IV	9757648;9759871;9760154;9760154;9761131;9761131;9761158	9757803;9760298;9760268;9760298;9761183;9761183;9761183	+;+;+;+;+;+;+	637	586	830	643	566	400	386	297	378	360	377	394	270	238	204
WBGene00011749	IV;IV	9766338;9766431	9766351;9766436	-;-	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003466	IV	9767155	9767187	-	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003465	IV	9770013	9770045	+	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00000301	IV;IV;IV	9772510;9772520;9772933	9772531;9772806;9772983	+;+;+	348	118	264	167	156	160	149	187	180	212	187	166	186	154	151
WBGene00011747	IV	9777627	9777634	-	8	1	3	0	2	2	3	1	1	1	0	7	0	0	1
WBGene00011746	IV	9778288	9778384	+	97	2	3	2	5	6	7	2	1	0	2	0	0	0	0
WBGene00011745	IV	9784679	9784686	-	8	6	6	3	0	1	0	0	5	8	9	12	2	3	2
WBGene00004031	IV	9796590	9796592	-	3	1	0	0	0	1	0	0	0	2	1	0	0	0	1
WBGene00011743	IV	9797353	9797354	-	2	2	0	1	0	0	1	2	1	0	0	2	0	0	1
WBGene00001396	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9799429;9799430;9800226;9800821;9801029;9801031;9801145;9801145;9801285;9801285;9801521;9801881;9801881	9799470;9799470;9800294;9800983;9801098;9801097;9801236;9801236;9801391;9801391;9801904;9801904;9801904	+;+;+;+;+;+;+;+;+;+;+;+;+	927	2186	3253	2170	2273	1458	1415	864	1990	1881	1846	2215	1311	1042	952
WBGene00001395	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9803023;9803038;9803922;9803922;9803922;9803949;9804328;9804331;9804331;9804331;9805138;9805138;9805309;9805314;9805314;9805665	9803062;9803101;9804025;9804025;9804025;9804021;9804517;9804517;9804826;9804826;9805266;9805266;9805346;9805614;9805346;9805720	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1173	3162	4287	3221	3000	2696	2641	1657	2760	2441	2514	3328	2639	1917	1992
WBGene00012340	IV	9810708	9810733	-	26	0	0	1	2	3	1	0	3	3	1	1	0	2	0
WBGene00001188	IV	9815522	9815526	-	5	1	0	2	3	1	1	3	8	2	5	2	2	1	2
WBGene00012341	IV	9824548	9824632	-	85	10	10	7	7	8	4	4	3	6	9	4	6	4	4
WBGene00012342	IV	9825694	9825698	+	5	1	2	2	1	1	3	4	0	1	0	2	0	1	3
WBGene00003467	IV	9836418	9836452	-	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003425	IV	9837616	9837648	+	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00002206	IV	9840977	9841084	-	108	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00003449	IV	9841443	9841539	+	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045180	IV	9842371	9842427	+	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010633	IV	9844014	9844059	+	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010634	IV	9846642	9846674	-	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00010636	IV;IV	9849576;9849656	9849606;9849796	-;-	172	0	1	0	0	0	0	0	0	0	1	0	0	0	0
WBGene00006039	IV;IV;IV	9851032;9851032;9851032	9851070;9851061;9851061	-;-;-	39	0	1	0	0	0	0	0	0	1	2	0	1	0	1
WBGene00006050	IV	9852550	9852588	+	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010637	IV	9856012	9856017	+	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00003787	IV;IV;IV	9858488;9858488;9859195	9858491;9858491;9859371	+;+;+	181	0	2	3	2	3	1	2	4	2	1	4	1	0	1
WBGene00010638	IV	9862221	9862223	+	3	1	6	2	2	2	2	1	0	1	0	0	3	3	3
WBGene00010640	IV;IV;IV	9864179;9864179;9864181	9864194;9864194;9864194	+;+;+	16	0	0	0	0	0	0	0	2	0	2	1	0	0	0
WBGene00010639	IV;IV;IV;IV;IV;IV;IV	9865078;9865078;9865078;9865172;9865173;9865687;9865704	9865113;9865113;9865120;9865303;9865296;9865792;9865792	+;+;+;+;+;+;+	281	695	1121	697	624	708	702	424	722	797	644	686	545	599	489
WBGene00003603	IV	9879329	9879333	+	5	1	5	0	2	1	10	5	5	0	3	9	5	2	2
WBGene00009320	IV;IV;IV	9884282;9884282;9884341	9884284;9884289;9884383	-;-;-	51	2	1	1	0	3	1	0	4	0	0	0	0	0	0
WBGene00009319	IV	9884556	9884569	+	14	1	7	1	5	1	0	0	0	0	0	1	0	1	1
WBGene00009321	IV	9891989	9892038	-	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00006056	IV	9893698	9893779	-	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003464	IV	9894596	9894630	+	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00006049	IV	9895388	9895417	+	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009322	IV;IV	9899326;9899564	9899576;9899576	+;+	251	2	4	3	2	5	4	6	4	1	0	2	2	4	2
WBGene00009323	IV	9903908	9903911	+	4	0	0	0	1	0	1	0	0	0	2	2	0	2	1
WBGene00009133	IV	9916530	9916546	+	17	2	3	1	3	0	2	1	2	0	0	0	1	0	0
WBGene00001113	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9923746;9923746;9923746;9923746;9923986;9923986;9923986;9923986;9924247;9924247;9924247;9924247;9924470;9924470;9924470;9924470;9924586;9924586;9924586;9924586;9924614;9924614;9924705;9924705;9924705;9924705;9924705;9924705;9925132;9928223;9928223;9928223	9923753;9923753;9923753;9923753;9924039;9924039;9924039;9924039;9924333;9924333;9924333;9924333;9924535;9924535;9924535;9924535;9924651;9924651;9924651;9924651;9924651;9924651;9924759;9924759;9924759;9924759;9924758;9924759;9925153;9928223;9928223;9928223	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	359	80	144	76	90	168	177	142	74	51	46	39	60	60	44
WBGene00009131	IV;IV	9932136;9932136	9932240;9932213	-;-	105	0	1	0	1	2	2	0	2	1	0	2	0	2	0
WBGene00009132	IV	9932235	9932352	+	118	3	5	4	7	5	7	8	9	2	13	8	8	5	5
WBGene00001650	IV;IV;IV;IV	9945776;9946374;9949324;9953386	9946041;9946494;9949392;9953433	-;-;-;-	504	28	33	22	30	31	20	21	18	22	17	13	23	22	14
WBGene00011762	IV	9964245	9964303	+	59	1	0	4	0	4	3	0	1	0	2	0	0	3	3
WBGene00002193	IV;IV	9969066;9969118	9969069;9969181	-;-	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00008154	IV;IV	9969400;9969866	9969439;9969896	+;+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00008153	IV;IV	9972800;9972800	9972847;9972847	+;+	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00008152	IV	9974672	9974702	+	31	4	2	0	1	1	3	0	3	1	4	3	2	1	1
WBGene00000964	IV	9978122	9978185	+	64	3	7	6	12	3	8	5	2	6	2	2	4	2	3
WBGene00008151	IV	9982267	9982276	-	10	7	5	3	8	3	10	1	6	6	8	2	3	5	4
WBGene00008150	IV	9983195	9983289	+	95	0	0	1	0	0	0	0	0	0	1	0	1	0	0
WBGene00006699	IV;IV;IV;IV;IV;IV;IV;IV;IV	9993290;9993290;9993290;9993365;9994729;9994733;9994924;9994924;9994924	9993349;9993349;9993349;9993368;9994905;9994945;9994945;9994945;9995034	-;-;-;-;-;-;-;-;-	370	124	220	134	137	154	193	201	46	66	67	73	101	90	125
WBGene00008149	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	9996746;9996746;9996746;9996746;9997556;9997635;9997669;9997757;9997964;9997964;9998834;9998926	9996791;9996971;9996791;9996793;9997593;9997646;9997694;9997883;9997983;9998002;9998899;9999032	-;-;-;-;-;-;-;-;-;-;-;-	641	127	215	146	132	253	200	262	92	101	96	139	139	81	86
WBGene00008148	IV;IV	10001815;10001815	10001846;10001846	-;-	32	14	20	10	6	17	12	1	7	4	12	17	7	4	5
WBGene00008147	IV;IV;IV	10003338;10003338;10003460	10003346;10003348;10003534	-;-;-	86	1	4	1	4	2	0	1	1	1	0	3	0	3	2
WBGene00005663	IV;IV	10003726;10003726	10003753;10003753	+;+	28	33	41	19	23	40	36	27	26	8	6	21	14	10	10
WBGene00009678	IV;IV;IV;IV	10009354;10009354;10009804;10009804	10009375;10009375;10009965;10009965	+;+;+;+	184	9	18	9	11	29	21	15	27	30	20	38	24	31	40
WBGene00009679	IV	10016328	10016398	-	71	0	4	3	2	0	2	2	2	3	5	4	1	1	2
WBGene00009686	IV;IV;IV;IV;IV	10017960;10019016;10019263;10019263;10020352	10018041;10019266;10019266;10019266;10020394	+;+;+;+;+	376	7	14	13	19	7	9	4	22	13	19	16	6	6	4
WBGene00009680	IV	10022679	10022705	-	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009685	IV	10023291	10023336	+	46	0	1	0	0	0	0	0	0	0	1	1	0	0	0
WBGene00009681	IV	10027615	10027666	-	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009682	IV	10029055	10029082	+	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00011424	IV	10040792	10040903	-	112	0	1	0	4	4	2	0	1	1	2	4	3	3	0
WBGene00001487	IV	10043969	10044262	+	294	1	4	0	0	3	2	2	3	2	0	7	3	1	1
WBGene00011422	IV	10048602	10048685	+	84	5	7	4	5	15	14	22	7	8	7	10	6	2	9
WBGene00044018	IV	10051116	10051188	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00011425	IV;IV	10055712;10056190	10055718;10056250	-;-	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00011423	IV;IV;IV	10059126;10059126;10062781	10059178;10059178;10062849	-;-;-	122	68	82	70	52	25	32	18	10	7	12	9	10	20	11
WBGene00000858	IV	10067824	10067874	+	51	8	8	4	3	8	2	4	12	4	14	1	0	1	1
WBGene00012170	IV	10072602	10072626	-	25	1	0	0	0	1	2	1	0	0	0	1	0	0	0
